ObsID,years,Soft Flux (un-abs) (erg cm⁻² s⁻¹),Hard Flux (un-abs) (erg cm⁻² s⁻¹),R (RATIO)
124,12.62,3.35E-13,8.96E-14,2.67E-01
1387,12.62,4.81E-13,6.18E-14,1.28E-01
122,12.90,3.30E-13,1.15E-13,3.49E-01
1044,14.17,5.62E-13,1.06E-13,1.89E-01
3829,15.85,1.12E-12,1.90E-13,1.69E-01
3830,16.37,1.39E-12,2.36E-13,1.70E-01
4614,16.86,1.56E-12,2.84E-13,1.82E-01
4615,17.41,2.41E-12,3.12E-13,1.29E-01
5362,17.51,3.47E-12,2.48E-13,7.16E-02
4641,17.52,3.38E-12,3.12E-13,9.21E-02
6099,17.52,3.41E-12,2.34E-13,6.85E-02
5363,17.53,3.41E-12,2.92E-13,8.56E-02
5579,17.88,3.48E-12,3.38E-13,9.70E-02
6178,17.89,3.40E-12,3.46E-13,1.02E-01
5580,18.38,4.24E-12,4.01E-13,9.46E-02
6345,18.39,4.35E-12,3.41E-13,7.85E-02
6668,18.93,5.14E-12,4.48E-13,8.72E-02
6669,19.42,6.00E-12,5.19E-13,8.65E-02
8523,20.04,7.15E-12,3.31E-13,4.62E-02
8537,20.05,7.45E-12,3.80E-13,5.10E-02
7588,20.05,7.47E-12,4.74E-13,6.34E-02
8538,20.06,8.02E-12,3.71E-13,4.62E-02
7589,20.07,7.40E-12,4.02E-13,5.44E-02
8539,20.07,7.89E-12,4.45E-13,5.64E-02
8542,20.07,7.62E-12,4.25E-13,5.58E-02
8487,20.08,6.95E-12,3.54E-13,5.10E-02
8543,20.09,7.35E-12,4.24E-13,5.77E-02
8544,20.09,8.09E-12,3.95E-13,4.88E-02
8488,20.10,7.89E-12,4.87E-13,6.18E-02
8545,20.10,7.70E-12,4.09E-13,5.31E-02
8546,20.10,7.95E-12,5.12E-13,6.44E-02
7590,20.15,8.09E-12,4.69E-13,5.79E-02
9581,20.53,7.93E-12,6.27E-13,7.91E-02
9582,20.53,8.25E-12,5.98E-13,7.26E-02
9580,20.54,8.14E-12,5.61E-13,6.90E-02
7620,20.54,8.50E-12,6.33E-13,7.44E-02
7621,20.55,7.80E-12,6.27E-13,8.04E-02
9591,20.55,7.51E-12,4.98E-13,6.63E-02
9592,20.55,8.23E-12,6.36E-13,7.72E-02
9589,20.56,8.30E-12,6.41E-13,7.72E-02
9590,20.56,8.26E-12,5.59E-13,6.77E-02
12145,24.02,1.30E-11,9.37E-13,7.21E-02
13238,24.03,1.15E-11,9.82E-13,8.52E-02
13239,24.03,1.27E-11,9.80E-13,7.71E-02
12146,24.05,1.31E-11,8.73E-13,6.69E-02
14697,26.07,1.46E-11,1.31E-12,8.98E-02
14698,26.60,1.57E-11,1.32E-12,8.40E-02
15809,27.07,1.51E-11,1.36E-12,8.95E-02
17415,27.57,1.56E-11,1.37E-12,8.75E-02
15810,27.57,1.55E-11,1.43E-12,9.23E-02
16756,28.57,1.60E-11,1.46E-12,9.14E-02
20927,31.05,1.27E-11,1.61E-12,1.27E-01
21037,31.06,1.32E-11,1.64E-12,1.25E-01
21038,31.07,1.31E-11,1.59E-12,1.22E-01
20322,31.07,1.46E-11,1.64E-12,1.12E-01
21042,31.08,1.25E-11,1.54E-12,1.22E-01
21043,31.08,1.27E-11,1.66E-12,1.30E-01
21044,31.09,1.34E-11,1.64E-12,1.22E-01
20323,31.09,1.44E-11,1.78E-12,1.23E-01
21049,31.09,1.31E-11,1.49E-12,1.14E-01
21050,31.10,1.27E-11,1.83E-12,1.45E-01
21051,31.10,1.35E-11,1.89E-12,1.40E-01
21052,31.10,1.27E-11,1.55E-12,1.23E-01
21053,31.11,1.46E-11,1.96E-12,1.35E-01
20277,31.56,1.41E-11,1.72E-12,1.22E-01
21844,31.56,1.40E-11,1.67E-12,1.19E-01
21304,32.56,1.26E-11,1.66E-12,1.32E-01
22849,32.57,1.32E-11,1.74E-12,1.32E-01
22425,33.55,1.31E-11,1.86E-12,1.42E-01
24652,33.57,6.05E-11,1.69E-12,2.80E-02
23534,34.67,1.27E-11,1.74E-12,1.37E-01
24295,34.68,1.23E-11,1.70E-12,1.38E-01
24654,34.68,1.30E-11,2.05E-12,1.58E-01
25514,35.58,1.11E-11,1.86E-12,1.68E-01
,30.88,,,0.12
