ObsID,Unabsorbed Hard uncertainty,Unabsorbed Soft uncertainty,σ_R (Unabs),,
124,1.93E-14,4.09E-15,5.77E-02,,
1387,7.42E-15,2.58E-14,1.69E-02,,
122,3.34E-16,2.75E-15,3.08E-03,,
1044,1.94E-15,1.45E-14,5.98E-03,,
3829,5.32E-16,8.83E-15,1.41E-03,,
3830,8.48E-16,3.27E-15,7.29E-04,,
4614,2.40E-16,5.09E-15,6.13E-04,,
4615,1.25E-15,9.68E-15,7.33E-04,,
5362,1.29E-14,3.89E-14,3.80E-03,,
4641,7.89E-15,4.52E-14,2.64E-03,,
6099,4.07E-15,4.87E-14,1.54E-03,,
5363,8.21E-15,7.61E-14,3.07E-03,,
5579,7.44E-15,9.09E-15,2.15E-03,,
6178,1.01E-14,3.53E-14,3.15E-03,,
5580,4.59E-16,8.62E-15,2.21E-04,,
6345,8.41E-15,2.91E-14,2.01E-03,,
6668,2.13E-15,2.45E-14,5.87E-04,,
6669,2.05E-15,2.37E-14,4.83E-04,,
8523,1.03E-14,6.18E-14,1.50E-03,,
8537,2.65E-14,1.90E-13,3.79E-03,,
7588,6.00E-15,1.39E-13,1.43E-03,,
8538,8.91E-15,2.95E-13,2.03E-03,,
7589,1.28E-14,4.93E-14,1.77E-03,,
8539,5.00E-15,2.00E-13,1.56E-03,,
8542,8.80E-16,2.65E-13,1.94E-03,,
8487,1.71E-14,3.01E-13,3.31E-03,,
8543,1.02E-16,1.08E-13,8.44E-04,,
8544,1.15E-16,3.44E-13,2.07E-03,,
8488,6.16E-15,1.63E-13,1.50E-03,,
8545,2.68E-15,5.38E-14,5.09E-04,,
8546,3.02E-14,9.93E-14,3.89E-03,,
7590,9.63E-15,1.20E-13,1.47E-03,,
9581,1.54E-14,1.01E-13,2.19E-03,,
9582,2.20E-14,1.40E-13,2.94E-03,,
9580,2.83E-14,5.10E-14,3.50E-03,,
7620,2.67E-15,1.01E-14,3.26E-04,,
7621,3.80E-15,4.59E-14,6.80E-04,,
9591,3.49E-14,2.77E-13,5.25E-03,,
9592,3.22E-15,5.73E-13,5.39E-03,,
9589,2.30E-14,2.68E-13,3.73E-03,,
9590,4.25E-14,1.05E-13,5.21E-03,,
12145,3.66E-14,1.13E-14,2.81E-03,,
13238,2.62E-14,7.06E-14,2.33E-03,,
13239,6.62E-15,8.24E-14,7.21E-04,,
12146,6.00E-14,1.14E-13,4.63E-03,,
14697,5.13E-14,4.76E-14,3.52E-03,,
14698,1.55E-15,1.34E-13,7.23E-04,,
15809,1.79E-15,1.87E-14,1.62E-04,,
17415,4.43E-14,1.51E-13,2.96E-03,,
15810,3.18E-15,8.53E-14,5.48E-04,,
16756,3.77E-15,2.09E-14,2.64E-04,,
20927,6.70E-14,6.42E-13,8.32E-03,,
21037,1.43E-14,8.23E-14,1.34E-03,,
21038,2.12E-14,9.08E-13,8.58E-03,,
20322,8.43E-14,1.91E-12,1.57E-02,,
21042,2.15E-16,8.79E-14,8.58E-04,,
21043,3.38E-14,1.65E-13,3.14E-03,,
21044,3.17E-14,3.58E-14,2.38E-03,,
20323,6.41E-14,2.35E-16,4.43E-03,,
21049,1.09E-13,8.57E-14,8.37E-03,,
21050,4.27E-14,9.05E-13,1.35E-02,,
21051,5.41E-14,1.15E-13,4.19E-03,,
21052,3.04E-14,3.25E-13,5.31E-03,,
21053,1.08E-13,5.19E-13,8.85E-03,,
20277,2.22E-14,2.13E-13,2.42E-03,,
21844,1.90E-14,1.13E-13,1.66E-03,,
21304,4.36E-15,7.87E-15,3.56E-04,,
22849,1.30E-14,8.57E-14,1.31E-03,,
22425,1.18E-13,1.43E-13,9.11E-03,,
24652,5.44E-14,4.29E-12,2.18E-03,,
23534,6.78E-14,1.03E-13,5.45E-03,,
24295,5.40E-14,3.05E-13,5.54E-03,,
24654,4.39E-14,3.78E-14,3.41E-03,,
25514,4.15E-14,3.55E-13,6.55E-03,,
